0,1,2,3
1456,0,700,0.9776077790855067
1456,0,700,0.9776077790855067
1455,0,700,0.9776087911363364
1455,0,700,0.9776087911363364
1454,0,700,0.9776098129944741
1454,0,700,0.9776098129944741
1453,0,700,0.9776108446858984
1453,0,700,0.9776108446858984
1452,0,700,0.977611886236659
1452,0,700,0.977611886236659
1451,0,700,0.9776129376728766
1451,0,700,0.9776129376728766
1450,0,700,0.9776139990207436
1450,0,700,0.9776139990207436
1449,0,700,0.9776150703065251
1449,0,700,0.9776150703065251
1448,0,700,0.9776161515565561
1448,0,700,0.9776161515565561
1447,0,700,0.9776172427972459
1447,0,700,0.9776172427972459
1446,0,700,0.977618344055075
1446,0,700,0.977618344055075
1445,0,700,0.9776194553565968
1445,0,700,0.9776194553565968
1444,0,700,0.9776205767284378
1444,0,700,0.9776205767284378
1443,0,700,0.9776217081972972
1443,0,700,0.9776217081972972
1442,0,700,0.9776228497899478
1442,0,700,0.9776228497899478
1441,0,700,0.9776240015332356
1441,0,700,0.9776240015332356
1440,0,700,0.9776251634540813
1440,0,700,0.9776251634540813
1439,0,700,0.9776263355794781
1439,0,700,0.9776263355794781
1438,0,700,0.9776275179364946
1438,0,700,0.9776275179364946
1437,0,700,0.9776287105522735
1437,0,700,0.9776287105522735
1436,0,700,0.977629913454032
1436,0,700,0.977629913454032
1435,0,700,0.9776311266690626
1435,0,700,0.9776311266690626
1434,0,700,0.9776323502247324
1434,0,700,0.9776323502247324
1433,0,700,0.9776335841484843
1433,0,700,0.9776335841484843
1432,0,700,0.9776348284678369
1432,0,700,0.9776348284678369
1431,0,700,0.9776360832103838
1431,0,700,0.9776360832103838
1430,0,700,0.9776373484037955
1430,0,700,0.9776373484037955
1429,0,700,0.9776386240758191
1429,0,700,0.9776386240758191
1428,0,700,0.9776399102542772
1428,0,700,0.9776399102542772
1427,0,700,0.9776412069670698
1427,0,700,0.9776412069670698
1426,0,700,0.9776425142421739
1426,0,700,0.9776425142421739
1425,0,700,0.9776438321076435
1425,0,700,0.9776438321076435
1424,0,700,0.9776451605916106
1424,0,700,0.9776451605916106
1423,0,700,0.9776464997222845
1423,0,700,0.9776464997222845
1422,0,700,0.9776478495279527
1422,0,700,0.9776478495279527
1421,0,700,0.9776492100369804
1421,0,700,0.9776492100369804
1420,0,700,0.9776505812778121
1420,0,700,0.9776505812778121
1419,0,700,0.9776519632789706
1419,0,700,0.9776519632789706
1418,0,700,0.9776533560690575
1418,0,700,0.9776533560690575
1417,0,700,0.9776547596767536
1417,0,700,0.9776547596767536
1416,0,700,0.9776561741308196
1416,0,700,0.9776561741308196
1415,0,700,0.9776575994600956
1415,0,700,0.9776575994600956
1414,0,700,0.9776590356935011
1414,0,700,0.9776590356935011
1413,0,700,0.9776604828600369
1413,0,700,0.9776604828600369
1412,0,700,0.9776619409887836
1412,0,700,0.9776619409887836
1411,0,700,0.9776634101089019
1411,0,700,0.9776634101089019
1410,0,700,0.9776648902496349
1410,0,700,0.9776648902496349
1409,0,700,0.9776663814403057
1409,0,700,0.9776663814403057
1408,0,700,0.977667883710319
1408,0,700,0.977667883710319
1407,0,700,0.9776693970891619
1407,0,700,0.9776693970891619
1406,0,700,0.9776709216064028
1406,0,700,0.9776709216064028
1405,0,700,0.9776724572916924
1405,0,700,0.9776724572916924
1404,0,700,0.9776740041747636
1404,0,700,0.9776740041747636
1403,0,700,0.9776755622854334
1403,0,700,0.9776755622854334
1402,0,700,0.9776771316535998
1402,0,700,0.9776771316535998
1401,0,700,0.9776787123092452
1401,0,700,0.9776787123092452
1400,0,700,0.9776803042824359
1400,0,700,0.9776803042824359
1399,0,700,0.9776819076033207
1399,0,700,0.9776819076033207
1398,0,700,0.9776835223021337
1398,0,700,0.9776835223021337
1397,0,700,0.9776851484091925
1397,0,700,0.9776851484091925
1396,0,700,0.9776867859548992
1396,0,700,0.9776867859548992
1395,0,700,0.9776884349697416
1395,0,700,0.9776884349697416
1394,0,700,0.9776900954842913
1394,0,700,0.9776900954842913
1393,0,700,0.9776917675292063
1393,0,700,0.9776917675292063
1392,0,700,0.9776934511352299
1392,0,700,0.9776934511352299
1391,0,700,0.9776951463331913
1391,0,700,0.9776951463331913
1390,0,700,0.977696853154006
1390,0,700,0.977696853154006
1389,0,700,0.9776985716286752
1389,0,700,0.9776985716286752
1388,0,700,0.9777003017882877
1388,0,700,0.9777003017882877
1387,0,700,0.9777020436640194
1387,0,700,0.9777020436640194
1386,0,700,0.9777037972871324
1386,0,700,0.9777037972871324
1385,0,700,0.9777055626889772
1385,0,700,0.9777055626889772
1384,0,700,0.9777073399009917
1384,0,700,0.9777073399009917
1383,0,700,0.9777091289547023
1383,0,700,0.9777091289547023
1382,0,700,0.9777109298817234
1382,0,700,0.9777109298817234
1381,0,700,0.9777127427137579
1381,0,700,0.9777127427137579
1380,0,700,0.9777145674825983
1380,0,700,0.9777145674825983
1379,0,700,0.9777164042201251
1379,0,700,0.9777164042201251
1378,0,700,0.97771825295831
1378,0,700,0.97771825295831
1377,0,700,0.9777201137292127
1377,0,700,0.9777201137292127
1376,0,700,0.9777219865649847
1376,0,700,0.9777219865649847
1375,0,700,0.9777238714978655
1375,0,700,0.9777238714978655
1374,0,700,0.9777257685601877
1374,0,700,0.9777257685601877
1373,0,700,0.9777276777843734
1373,0,700,0.9777276777843734
1372,0,700,0.9777295992029361
1372,0,700,0.9777295992029361
1371,0,700,0.9777315328484808
1371,0,700,0.9777315328484808
1370,0,700,0.9777334787537046
1370,0,700,0.9777334787537046
1369,0,700,0.9777354369513963
1369,0,700,0.9777354369513963
1368,0,700,0.9777374074744374
1368,0,700,0.9777374074744374
1367,0,700,0.9777393903558015
1367,0,700,0.9777393903558015
1366,0,700,0.9777413856285553
1366,0,700,0.9777413856285553
1365,0,700,0.9777433933258594
1365,0,700,0.9777433933258594
1364,0,700,0.9777454134809672
1364,0,700,0.9777454134809672
1363,0,700,0.9777474461272263
1363,0,700,0.9777474461272263
1362,0,700,0.9777494912980781
1362,0,700,0.9777494912980781
1361,0,700,0.977751549027059
1361,0,700,0.977751549027059
1360,0,700,0.9777536193477991
1360,0,700,0.9777536193477991
1359,0,700,0.9777557022940251
1359,0,700,0.9777557022940251
1358,0,700,0.9777577978995572
1358,0,700,0.9777577978995572
1357,0,700,0.9777599061983127
1357,0,700,0.9777599061983127
1356,0,700,0.9777620272243045
1356,0,700,0.9777620272243045
1355,0,700,0.9777641610116412
1355,0,700,0.9777641610116412
1354,0,700,0.9777663075945285
1354,0,700,0.9777663075945285
1353,0,700,0.9777684670072685
1353,0,700,0.9777684670072685
1352,0,700,0.9777706392842611
1352,0,700,0.9777706392842611
1351,0,700,0.9777728244600035
1351,0,700,0.9777728244600035
1350,0,700,0.97777502256909
1350,0,700,0.97777502256909
1349,0,700,0.977777233646214
1349,0,700,0.977777233646214
1348,0,700,0.9777794577261669
1348,0,700,0.9777794577261669
1347,0,700,0.9777816948438384
1347,0,700,0.9777816948438384
1346,0,700,0.9777839450342182
1346,0,700,0.9777839450342182
1345,0,700,0.9777862083323948
1345,0,700,0.9777862083323948
1344,0,700,0.9777884847735557
1344,0,700,0.9777884847735557
1343,0,700,0.9777907743929901
1343,0,700,0.9777907743929901
